"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Other Industrial Processes","VA","51","Richmond city","760","PM2.5 Primary (Filt + Cond)","CAP","94.3880793","TON"
"Highway Vehicles","VA","51","Richmond city","760","PM2.5 Primary (Filt + Cond)","CAP","91.37993606","TON"
"Fuel Comb. Industrial","VA","51","Albemarle","003","PM2.5 Primary (Filt + Cond)","CAP","89.739598905","TON"
"Fuel Comb. Other","VA","51","Shenandoah","171","PM2.5 Primary (Filt + Cond)","CAP","89.34354445","TON"
"Off-Highway","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","88.4452614269840000061539049","TON"
"Fuel Comb. Other","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","88.17032695","TON"
"Fuel Comb. Industrial","VA","51","Roanoke","161","PM2.5 Primary (Filt + Cond)","CAP","87.60748982","TON"
"Fuel Comb. Other","VA","51","Carroll","035","PM2.5 Primary (Filt + Cond)","CAP","86.949502095","TON"
"Highway Vehicles","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","86.47605559","TON"
"Fuel Comb. Elec. Util.","VA","51","Halifax","083","PM2.5 Primary (Filt + Cond)","CAP","86.285127","TON"
"Highway Vehicles","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","85.99416693","TON"
"Highway Vehicles","VA","51","Stafford","179","PM2.5 Primary (Filt + Cond)","CAP","85.68529979","TON"
"Waste Disposal & Recycling","VA","51","Louisa","109","PM2.5 Primary (Filt + Cond)","CAP","85.63155","TON"
"Highway Vehicles","VA","51","Hanover","085","PM2.5 Primary (Filt + Cond)","CAP","85.05130758","TON"
"Waste Disposal & Recycling","VA","51","Powhatan","145","PM2.5 Primary (Filt + Cond)","CAP","85.014921","TON"
"Fuel Comb. Other","VA","51","Louisa","109","PM2.5 Primary (Filt + Cond)","CAP","84.51455701","TON"
"Fuel Comb. Elec. Util.","VA","51","Wise","195","PM2.5 Primary (Filt + Cond)","CAP","84.0355","TON"
"Waste Disposal & Recycling","VA","51","Culpeper","047","PM2.5 Primary (Filt + Cond)","CAP","83.97603","TON"
"Fuel Comb. Other","VA","51","Roanoke","161","PM2.5 Primary (Filt + Cond)","CAP","82.432933685","TON"
"Waste Disposal & Recycling","VA","51","Suffolk city","800","PM2.5 Primary (Filt + Cond)","CAP","82.405544","TON"
"Waste Disposal & Recycling","VA","51","Campbell","031","PM2.5 Primary (Filt + Cond)","CAP","81.51158","TON"
"Fuel Comb. Other","VA","51","Henry","089","PM2.5 Primary (Filt + Cond)","CAP","80.578304915","TON"
"Other Industrial Processes","VA","51","Newport News city","700","PM2.5 Primary (Filt + Cond)","CAP","79.8748928","TON"
"Other Industrial Processes","VA","51","James city","095","PM2.5 Primary (Filt + Cond)","CAP","79.4071684362","TON"
"Metals Processing","VA","51","Roanoke city","770","PM2.5 Primary (Filt + Cond)","CAP","79.3162315","TON"
"Fuel Comb. Elec. Util.","VA","51","Brunswick","025","PM2.5 Primary (Filt + Cond)","CAP","79.2","TON"
"Fuel Comb. Industrial","VA","51","Giles","071","PM2.5 Primary (Filt + Cond)","CAP","78.992110405","TON"
"Fuel Comb. Industrial","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","78.197642435","TON"
"Other Industrial Processes","VA","51","Tazewell","185","PM2.5 Primary (Filt + Cond)","CAP","78.113602","TON"
"Highway Vehicles","VA","51","Arlington","013","PM2.5 Primary (Filt + Cond)","CAP","77.92597687","TON"
"Fuel Comb. Other","VA","51","Covington city","580","PM2.5 Primary (Filt + Cond)","CAP","76.872766702","TON"
"Fuel Comb. Elec. Util.","VA","51","York","199","PM2.5 Primary (Filt + Cond)","CAP","75.9447555","TON"
"Miscellaneous","VA","51","Lynchburg city","680","PM2.5 Primary (Filt + Cond)","CAP","75.8709206","TON"
"Fuel Comb. Other","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","74.8650051","TON"
"Miscellaneous","VA","51","Alexandria city","510","PM2.5 Primary (Filt + Cond)","CAP","74.3978928","TON"
